"","V1","V2","V3","V4","total"
"247",2020,3,11,"#covid19",87729
"248",2020,3,11,"#corona",20526
"249",2020,3,11,"#covid2019",4488
"250",2020,3,11,"#coronavirusupdate",4423
"251",2020,3,12,"#coronavirus",82743
"252",2020,3,12,"#covid19",79707
"253",2020,3,12,"#corona",6277
"254",2020,3,12,"#coronaviruspandemic",5858
"255",2020,3,12,"#covid<u+30fc>19",3898
"256",2020,3,13,"#covid19",77924
"257",2020,3,13,"#coronavirus",77669
"258",2020,3,13,"#coronaviruspandemic",6562
"259",2020,3,13,"#corona",5290
"260",2020,3,13,"#coronaoutbreak",3418
"261",2020,3,14,"#coronavirus",89705
"262",2020,3,14,"#covid19",76066
"263",2020,3,14,"#covid<u+30fc>19",28814
"264",2020,3,14,"#coronapocalypse",6773
"265",2020,3,14,"#coronaviruspandemic",6510
"266",2020,3,15,"#coronavirus",85551
"267",2020,3,15,"#covid19",57612
"268",2020,3,15,"#covid<u+30fc>19",53975
"269",2020,3,15,"#coronavirusupdates",7733
"270",2020,3,15,"#corona",5159
"271",2020,3,16,"#coronavirus",89207
"272",2020,3,16,"#covid19",61596
"273",2020,3,16,"#covid<u+30fc>19",26004
"274",2020,3,16,"#dontbeaspreader",5703
"275",2020,3,16,"#corona",5353
"276",2020,3,17,"#coronavirus",257736
"277",2020,3,17,"#covid19",170924
"278",2020,3,17,"#covid<u+30fc>19",22104
"279",2020,3,17,"#covid2019",17778
"280",2020,3,17,"#dontbeaspreader",14096
"281",2020,3,18,"#coronavirus",113894
"282",2020,3,18,"#covid19",97304
"283",2020,3,18,"#covid2019",10393
"284",2020,3,18,"#corona",6673
"285",2020,3,18,"#covid<u+30fc>19",5352
"286",2020,3,19,"#coronavirus",199209
"287",2020,3,19,"#covid19",170901
"288",2020,3,19,"#covid",13038
"289",2020,3,19,"#coronavirusupdate",12512
"290",2020,3,19,"#corona",11401
"291",2020,3,20,"#covid19",234359
"292",2020,3,20,"#coronavirus",194347
"293",2020,3,20,"#covid",26059
"294",2020,3,20,"#coronavirusupdate",15555
