"","V4","total"
"455","@NathanLerner",33675
"456","@itspaolayoo",33618
"457","@OGLisaTurtle",33599
"458","@yellowtofellow",33512
"459","@hausofhilton",33496
"460","@hillaryclinton",33495
"461","@PawanKalyan",33449
"462","@bbytbh",33388
"463","@yongaka",33380
"464","@lifeofthornpi",33312
"465","@EscaflowneClown",33097
"466","@JeffKasanoff",33083
"467","@platini954",33079
"468","@katierpacker",33005
"469","@wspieler",32934
"470","@lickks",32841
"471","@hawkescr7",32723
"472","@horamiji",32673
"473","@br0wnsga",32607
"474","@annikataraa",32602
"475","@LilNasX",32592
"476","@dejachanels",32534
"477","@michaellbonsujr",32512
"478","@nionozzi",32493
"479","@amyklobuchar",32343
"480","@pawankalyan",32216
"481","@YoungDems4Trump",32167
"482","@gabsonclarkst",32015
"483","@DjWalt",31998
"484","@margostockdale",31957
"485","@joelockhart",31913
"486","@Kingfreespeech",31886
"487","@mbennett9",31665
"488","@SimuLiu",31633
"489","@choibts2",31600
"490","@lmantovani",31460
"491","@jairbolsonaro",31422
"492","@AliciaForina",31406
"493","@miltsdad",31309
"494","@QueenKBonita",31227
"495","@CapriCornyCait",31217
"496","@krixsna",31211
"497","@Bamarooski",31182
"498","@sayabhullar",31080
"499","@poregan",30957
"500","@MarcusRashford",30940
"501","@elitelifekd",30928
"502","@landryguillen",30889
"503","@daniatomicus",30848
"504","@KyungLahCNN",30842
"505","@KarenFlemingPhD",30822
"506","@pngpngworld",30716
"507","@Noworriezzzz",30673
"508","@cigsaftercat",30554
"509","@bugsyband",30544
"510","@RBReich",30520
"511","@babyb0nes",30491
"512","@gliterwrld",30477
"513","@shannonrwatts",30361
"514","@bighitmusic",30333
"515","@lilnasx",30329
"516","@RobertGarciaLB",30296
"517","@97Vercetti",30147
"518","@snyyrid",30135
"519","@Cwells999",30110
"520","@GOPLeader",30095
"521","@emtpyvase",30049
"522","@ryanjreilly",30035
"523","@Lousimonn",29981
"524","@LocdWithNessa",29970
"525","@offtumcial",29946
"526","@ajhisnandez",29923
"527","@kaiseyo",29916
"528","@butantanoficial",29878
"529","@guypanupong",29774
"530","@suav3",29728
"531","@baeonda",29694
"532","@StrayKids",29674
"533","@j11nsoul",29656
"534","@incandescent",29653
"535","@murrymits",29629
"536","@amylstockwell",29606
"537","@SethAbramson",29482
"538","@MissLeandra",29442
"539","@badiucao",29434
"540","@jasminericegirl",29376
"541","@amandajalishaxo",29371
"542","@ArokaWrite",29343
"543","@whitneyhu",29341
"544","@oneuvakind",29304
"545","@canadiankaymd",29256
"546","@Iamujer",29227
"547","@praisegodbarbon",29205
"548","@OriginalDWoods",29170
"549","@GRIERBOLUDO",29169
"550","@jnguyen",29094
"551","@ihucash",29072
"552","@4realronnie",29033
"553","@mumblesj",28975
"554","@Edomex",28933
"555","@Nikhil09121",28874
"556","@jjkmaryy",28870
"557","@ffewtk",28840
"558","@saintfadumo",28822
"559","@statueofGIBerty",28813
"560","@jdaque2",28596
"561","@realrhathayaya",28535
"562","@cl0uds9",28529
"563","@Nayellimarte",28518
"564","@eyestealmemes",28463
"565","@anildash",28434
"566","@InigoAbellar",28403
"567","@skhaterboi",28316
"568","@afcd0n",28273
"569","@smtownglobal",28210
"570","@DilanTheVillain",28184
"571","@falzthebahdguy",28153
"572","@chrisilluminati",28133
"573","@LazyGinger",28132
"574","@omojuwa",28131
"575","@jessicawon57",28101
"576","@SteveMartinToGo",28095
"577","@trisquire",28084
"578","@dhyphenmac",28046
"579","@stevenspohn",28021
"580","@dariusthedonn",27995
"581","@gwallamagic",27927
"582","@blvckcurrency",27817
"583","@cloverlm",27817
"584","@taylorinchief",27814
"585","@serenaxm",27710
"586","@Philzadamz",27701
"587","@belldelagua",27579
"588","@nisipisa",27556
"589","@poshgracie",27489
"590","@liya8th",27453
"591","@biggeasy123",27286
"592","@autismdrmom",27257
"593","@bfriedmandc",27197
"594","@BNODesk",27144
"595","@JustSumGuy176",27137
"596","@SkyNews",27113
"597","@AfterOrc",27107
"598","@yarotrof",27088
"599","@peterbakernyt",27023
"600","@caithuls",27007
"601","@AprilDRyan",26996
"602","@senkamalaharris",26953
"603","@alicewilder",26829
"604","@Mellazimen",26824
"605","@ItsRitz",26812
"606","@cartier2gs",26807
"607","@kneeyockartee",26798
"608","@rudybetrayed",26729
"609","@domycw",26719
"610","@leahgreenb",26657
"611","@pasteldotz",26626
"612","@zalifahms",26551
"613","@emchirinoo",26497
"614","@JRehling",26488
"615","@giyourdad",26411
"616","@jobreauxx",26378
"617","@ashishkjha",26330
"618","@escribinista",26323
"619","@ann4castro",26275
"620","@torinickswho",26275
"621","@ceraliza",26271
"622","@lookitstaylorrr",26234
"623","@galeforcerob",26148
"624","@JEONSGOODE",26136
"625","@aziedee",26135
"626","@wherewomenbloom",26072
"627","@GlblCtzn",26064
"628","@allisonpearson",26004
"629","@jameshamblin",25935
"630","@yinyangashh",25872
"631","@msjunediane",25796
"632","@hackblackburn",25783
"633","@ivybaby",25720
"634","@mlizza",25687
"635","@RespectableLaw",25684
"636","@thedemonicalien",25572
"637","@supramantrax",25408
"638","@parismills",25403
"639","@yerrrone",25344
"640","@DWUhlfelderLaw",25236
"641","@katpapajohns",25211
"642","@catcontentonly",25168
"643","@MichaelCoudrey",25110
"644","@highmynameisrae",25103
"645","@ongaddict",25068
"646","@DanielLewis3",25060
"647","@terryjtucker",25031
"648","@miyaohyeah",24972
"649","@dadetrading",24964
"650","@cretinaofc",24914
"651","@WhiteHouse",24885
"652","@sonusood",24883
"653","@calgif",24875
"654","@ChicagoTraderrr",24859
"655","@jandirafeghali",24770
"656","@danrather",24752
"657","@idriselba",24752
"658","@cariegend",24734
"659","@andrewyang",24572
"660","@maggienyt",24542
"661","@theblondern",24542
"662","@Goodable",24508
"663","@vitoriamad",24436
"664","@beenherde",24411
"665","@govlarryhogan",24346
"666","@sayangbolekok",24341
"667","@vonanneli",24299
"668","@grasonjant",24248
"669","@geoliveiraa2",24069
"670","@nobodybutme32",24045
"671","@realphoebe",24035
"672","@customizemekey",23948
"673","@sitisab",23927
"674","@nonggoblinbride",23865
"675","@heylizardleigh",23833
"676","@sensherrodbrown",23799
"677","@RealMattHousley",23768
"678","@doctarm",23722
"679","@Mediavenir",23709
"680","@cuscuzete",23664
"681","@diorslxt",23630
"682","@sleeplessbkk",23567
"683","@itsnella",23503
"684","@austincantdrive",23476
"685","@AnimeVibxs",23468
"686","@stephenking",23440
"687","@lakeeater",23424
"688","@goodposting",23413
"689","@typicalfeminist",23403
"690","@twitter",23381
"691","@jones",23356
"692","@nanaicez",23348
"693","@liampayne",23285
"694","@jonfavs",23249
"695","@ktchkrnt",23236
"696","@abiidm786",23233
"697","@yelsew",23210
"698","@puspaswarna",23202
"699","@beyerstein",23167
"700","@thesundaytimes",23158
"701","@notdearjohn",23119
"702","@jimmyfucker",23082
"703","@BillGates",22960
"704","@ChennaiIPL",22960
"705","@GOPChairwoman",22914
"706","@JustinB84741875",22853
"707","@justiceaudre",22828
"708","@leelecarvalho",22734
"709","@jayskuttt",22728
"710","@artisticatty",22723
"711","@theanuragtyagi",22669
"712","@imbreadanae",22589
"713","@juniorbachchan",22495
"714","@ezewriter",22481
"715","@goawaywithjae",22446
"716","@veasarachfwp",22414
"717","@bombaclartt",22402
"718","@mhaneemp",22346
"719","@bussey23",22333
"720","@cindasmommy",22314
"721","@advocatealakh",22241
"722","@AK3YN",22195
"723","@tomaskenn",22099
"724","@themightymux",22075
"725","@BalkanBlood",22020
"726","@ric3townfinest",21985
"727","@motulo",21883
"728","@deebreezy415",21865
"729","@RonallChersan",21863
"730","@santiagorichar",21826
"731","@comunistabaiano",21776
"732","@teddyredder",21665
"733","@ebsirivimon",21585
"734","@nerdybyptw",21584
"735","@LizCheney",21547
"736","@nathanheller",21528
"737","@WHOWPRO",21526
"738","@aminsyafee",21513
"739","@robreiner",21430
"740","@hrisshg",21393
"741","@cleavonmd",21340
"742","@navyoo",21243
"743","@domdotty",21217
"744","@siriyonce",21208
"745","@DrJCoftheDC",21050
"746","@benshapiro",21042
"747","@MissGinaDarling",20972
"748","@govridge",20923
"749","@VP",20867
"750","@DavidDTSS",20645
"751","@CheaTaylor",20617
"752","@MGRADS",20603
"753","@igbuducj",20563
"754","@deadlioness",20547
"755","@ohkayx33",20531
"756","@nowthisnews",20516
"757","@quintabrunson",20370
"758","@thisisnongshiba",20340
"759","@ohhitsleek",20338
"760","@rupertpearse",20257
"761","@craigaspencer",20228
"762","@sultanoftired",20179
"763","@senschumer",20118
"764","@afrkml",20114
"765","@champaaaaaa",20110
"766","@myhandsratede",20084
"767","@gautiverse",20069
"768","@yangita",20019
"769","@doctoroxford",19999
"770","@wanderwaii",19998
"771","@msshanitarenee",19963
"772","@boobsradley",19926
"773","@ajbuu",19896
"774","@syedsaddiq",19882
"775","@oxamafc",19817
"776","@l2wzai",19805
"777","@manueb98",19780
"778","@pinksiripipat",19708
"779","@wolfblitzer",19558
"780","@wisemanlhs",19455
"781","@rsgat",19422
"782","@th3mb0fication",19419
"783","@lilmaddest",19397
"784","@trisukol",19395
"785","@analauramendes",19315
"786","@thethurgood",19236
"787","@benvyle",19214
"788","@jonnysun",19213
"789","@simplydivine22",19172
"790","@nanaths",19118
"791","@stephenmangan",19099
"792","@nnnatene",18939
"793","@bussarinpptv",18910
"794","@GirlNamedMarley",18842
"795","@sebbyvi",18795
"796","@thetonymorrison",18750
"797","@realDonaldTrumps",18721
"798","@sldussan",18701
"799","@ivettepataki",18668
"800","@lisiniove",18665
"801","@kemz1",18573
"802","@malpraxis",18562
"803","@convictedloner",18487
"804","@fitrianizarAH",18468
"805","@lillihopkins",18463
"806","@crockettforreal",18425
"807","@modnoii",18412
"808","@ddale8",18387
"809","@lizzard1278",18297
"810","@anafcastela",18266
"811","@GoughCJ",18195
"812","@emresus",18058
"813","@iarnevilo",18026
"814","@ijbrunissima",17994
"815","@bt21",17938
"816","@petitpor",17887
"817","@ahrielnari",17862
"818","@meganaronson",17835
"819","@Ndrews1162011",17816
"820","@OliverBecquart",17815
"821","@srinivasiyc",17568
"822","@chknuggetz",17519
"823","@ADBoyntonII",17506
"824","@unyankobtrd",17475
"825","@maryltrump",17360
"826","@SJPeace",17344
"827","@HaddadFernando",17278
"828","@verellie",17242
"829","@koocalvins",17215
"830","@ReicherStephen",17195
"831","@fordnation",17142
"832","@mohaminmed",17137
"833","@meesterleesir",17126
"834","@realericcarmen",17117
"835","@woonzen39",17117
"836","@thaipbs",17091
"837","@mariamainmo",17060
"838","@BrianSimsPA",16991
"839","@JulianEpp",16973
"840","@CDCgov",16970
"841","@gmmtv",16797
"842","@luchaalmada",16783
"843","@guinapolitano",16779
"844","@prialcantara",16775
"845","@hshaban",16759
"846","@lilystgermain",16627
"847","@epikhigz",16620
"848","@SpeakerPelosi",16612
"849","@cutimakan",16531
"850","@jamiewithorne",16482
"851","@mononcecouerant",16405
"852","@literelly",16344
"853","@thaidansker",16308
"854","@profmakehappy",16286
"855","@ibaillanos",16282
"856","@asyrafrusni94",16278
"857","@MrGee54",16252
"858","@KyarraIman",16228
"859","@tonyferraro7",16165
"860","@chrismilburnnps",16085
"861","@theauguststar",16047
"862","@nepswirldabeard",16014
"863","@MoSpruill",16013
"864","@andrebrandt",15966
"865","@GregAbbottTX",15930
"866","@camieecamm",15809
"867","@showmetheyamz",15805
"868","@UNICEF",15794
"869","@talkmaster",15786
"870","@FaheemYounus",15715
"871","@heccctor11",15669
"872","@justintrudeau",15493
"873","@jasonhickel",15430
"874","@CasualPS",15424
"875","@elykreimendahl",15408
"876","@mmithplease",15375
"877","@NicolaSturgeon",15335
"878","@imvkohli",15233
"879","@tribelaw",15076
"880","@waniardy",15017
"881","@DrDenaGrayson",14798
"882","@arvindkejriwal",14793
"883","@ejln",14792
"884","@nazrih",14663
"885","@Brado84",14412
"886","@Dystopia992",14402
"887","@alinao17",14384
"888","@RyanAFournier",14343
"889","@4lisaguerrero",14184
"890","@julifaita",14131
"891","@yungskuntebony",14122
"892","@TonsTweetings",14065
"893","@nygovcuomo",14050
"894","@PugMafia2",14010
"895","@minjinlee11",13966
"896","@WesleyLowery",13933
"897","@thomasvconti",13889
"898","@AmberHobbs7",13853
"899","@aajtak",13838
"900","@tejasvisurya",13833
"901","@nellythamenace",13827
"902","@gmariah",13760
"903","@stevehanke",13731
"904","@juliaksksks",13657
"905","@kaitlancollins",13532
"906","@nedajahanbani",13448
"907","@MMarieSophie",13443
"908","@ddzinha99",13408
